Gene,SRR10398412,SRR10398413,SRR10398414,SRR10398415,SRR10398416,SRR10398417,SRR10398418,SRR10398419,SRR10398420
PA1173,1752.3771,845.281,796.3326,827.35126,817.5927,872.84247,412.7315,571.5108,924.3689
PA1174,18177.049,8943.939,5179.772,8470.148,8263.0625,8683.247,4658.113,8542.901,10507.204
PA1175,1559.7805,742.5873,394.01105,735.7901,721.1564,929.47614,341.63654,584.1113,638.8618
PA1176,2564.233,1349.0876,791.8943,1561.6848,1817.8363,1646.5621,866.0696,1480.8142,2215.1516
PA1177,2766.4854,1236.9088,1248.6628,3413.5142,3071.7612,3446.9326,960.0414,2321.761,2932.6558
PA1178,12070.799,6178.864,5434.3125,10366.886,8272.021,6946.615,3819.892,6760.2134,7910.363
PA1179,3904.2983,2252.9412,1363.7938,2070.8965,1871.4823,2046.9297,1155.5188,2223.7405,2346.9822
PA1180,2039.169,1210.346,701.3765,935.57874,911.23334,922.4761,556.9211,894.2192,1056.2888
PA1181,6013.0015,3626.8582,3195.7874,2894.5764,2816.748,2841.1238,1401.5533,2583.1,3161.965
PA1182,1041.0463,583.8039,442.7026,680.13617,608.076,690.9537,424.27216,692.7284,819.73865
PA1183,11237.515,6205.058,5571.9062,1906.5277,2421.9182,2443.9907,3124.296,3411.488,2593.786
PA1184,667.3337,345.84787,244.07072,299.9119,322.7963,452.15698,231.31493,453.0814,414.1544
PA1185,184.20703,101.95348,69.830414,161.71085,120.274734,142.00531,51.177563,159.59377,178.0127
PA1186,160.64175,92.06784,66.40784,128.64403,108.342896,147.60168,82.24379,155.22978,182.83792
PA1187,263.17883,144.2268,134.81337,150.58885,141.9466,166.3788,119.057434,189.13283,191.20435
PA1188,549.4665,324.0017,156.26561,360.90225,307.43704,329.22806,289.99088,523.64154,545.8986
PA1189,314.21918,234.71739,152.07988,118.629486,98.910614,134.89346,84.39539,181.6084,158.47029
PA1190,794.9503,493.57394,387.16156,1151.804,1052.9977,1022.8508,510.0161,859.08264,1115.7131
PA1191,2327.9226,978.07935,1433.5262,1420.5868,1315.2563,1366.1616,778.8148,1116.9982,1799.7661
PA1192,4322.147,2421.7327,2176.7075,1056.2073,1100.7219,2029.8354,1114.1802,2087.1543,1260.7518
PA1193,1881.9912,1013.2905,816.4113,634.29816,589.51337,835.87976,568.0868,962.9766,780.5898
PA1194,724.5576,383.98474,184.11198,210.82275,170.50269,251.61713,137.71295,263.84442,347.80695
PA1195,486.13925,247.93613,131.1568,107.43448,127.53693,154.3329,110.75654,172.74654,201.41531
PA1196,1430.9541,828.24744,436.0071,2112.2478,1538.8752,1262.7274,872.4151,1698.1003,2475.0188
PA1197,1246.52,652.79254,734.1893,1610.3451,1536.8827,1035.1162,694.99164,921.8955,1307.0186
PA1198,5917.563,4093.5671,4018.966,5021.031,5134.125,8736.098,4437.731,9917.021,7460.409
PA1199,4702.2017,2562.51,2103.4558,1864.8286,1725.6011,1881.0789,1066.1055,2339.9841,2301.0068
PA1200,2992.1614,1716.2998,1481.4722,1315.3539,1191.993,1399.476,802.7259,1447.6398,1603.298
PA1201,1059.9987,614.3039,379.63776,766.7856,630.8999,547.6576,413.10257,760.53876,968.2487
PA1202,2602.806,1540.2164,972.8905,2405.4934,1880.8606,1976.9246,1101.6925,2274.5469,2148.5603
PA1203,481.09985,298.8631,142.61427,129.33295,139.63066,237.6089,139.14496,233.23018,181.35202
PA1204,1120.2623,677.3515,353.24313,375.00403,403.0897,460.37088,253.897,520.42346,506.19473
PA1205,1208.394,764.2059,247.25731,418.14722,378.64865,498.66043,327.5028,579.28784,556.7961
PA1206,867.87,472.62805,252.92743,286.22443,319.28394,390.91498,201.54935,419.9299,410.15317
PA1207,2932.5967,1450.1482,847.0078,1104.948,952.9803,1327.6385,595.5279,1200.9755,1188.3452
PA1208,871.8989,455.8256,267.6596,624.82764,590.5746,630.35657,372.1596,699.6551,829.3566
PA1209,441.88297,244.68665,190.19713,360.63757,271.31433,328.06723,198.16193,347.0219,455.70505
PA1210,375.8599,207.17258,196.18704,383.8534,339.88193,353.78052,207.46262,433.94757,494.49963
PA1211,145.06453,92.21883,54.833183,119.483154,84.19096,107.06314,64.86889,135.92862,216.99857
